t,V_D,V_B,C_D_urea,C_B_urea,C_D_creatinine,C_B_creatinine,C_D_glucose,C_B_glucose,C_D_sodium,C_B_sodium,C_D_beta2m,C_B_beta2m,C_D_albumin,C_B_albumin
0,1500,0,0,0,0,0,83.25,0,132,0,0,0,0,0
0.02,1502.86,0,0.00572894,0,0.000219685,0,83.5122,0,132.472,0,3.92249e-08,0,5.02645e-05,0
1.02,1646.03,0,0.281916,0,0.0108454,0,96.1436,0,155.106,0,1.94451e-06,0,0.00249302,0
2.02,1789.85,0,0.539794,0,0.0208281,0,107.923,0,176.052,0,3.7487e-06,0,0.00480834,0
3.02,1934.27,0,0.781661,0,0.0302442,0,118.957,0,195.535,0,5.46289e-06,0,0.0070101,0
4.02,2079.24,0,1.0094,0,0.0391568,0,129.336,0,213.741,0,7.09638e-06,0,0.00910989,0
5.02,2224.75,0,1.22456,0,0.0476186,0,139.131,0,230.819,0,8.65701e-06,0,0.0111175,0
6.02,2370.75,0,1.42846,0,0.0556743,0,148.405,0,246.895,0,1.01515e-05,0,0.0130414,0
7.02,2517.23,0,1.62222,0,0.0633619,0,157.21,0,262.075,0,1.15855e-05,0,0.0148887,0
8.02,2560.78,0,1.8087,0,0.0707911,0,162.327,0,271.293,0,1.29786e-05,0,0.0166844,0
9.02,2507.81,0,1.99933,0,0.0784161,0,164.337,0,275.582,0,1.44157e-05,0,0.018538,0
10.02,2454.96,0,2.19611,0,0.0863188,0,166.408,0,279.981,0,1.59129e-05,0,0.0204703,0
11.02,2402.21,0,2.39935,0,0.0945147,0,168.541,0,284.493,0,1.74739e-05,0,0.0224863,0
12.02,2349.59,0,2.60938,0,0.10302,0,170.741,0,289.123,0,1.91027e-05,0,0.0245911,0
13.02,2297.09,0,2.82655,0,0.111853,0,173.011,0,293.877,0,2.08035e-05,0,0.0267907,0
14.02,2244.71,0,3.05125,0,0.121032,0,175.353,0,298.759,0,2.25811e-05,0,0.029091,0
15,2193.5,0,3.27913,0,0.130383,0,177.723,0,303.674,0,2.44025e-05,0,0.0314497,0
