t,V_D,V_B,C_D_urea,C_B_urea,C_D_creatinine,C_B_creatinine,C_D_glucose,C_B_glucose,C_D_sodium,C_B_sodium,C_D_beta2m,C_B_beta2m,C_D_albumin,C_B_albumin
0,1000,0,0,0,0,0,83.25,0,132,0,0,0,0,0
0.02,1002.2,0,0.0139361,0,0.000197967,0,83.6966,0,132.743,0,1.21457e-07,0,0.000115352,0
1.02,1112.88,0,0.695078,0,0.00992175,0,105.504,0,168.774,0,6.12526e-06,0,0.00582172,0
2.02,1224.69,0,1.34701,0,0.0193139,0,126.336,0,202.796,0,1.19925e-05,0,0.0114061,0
3.02,1337.57,0,1.97182,0,0.02839,0,146.266,0,235,0,1.77232e-05,0,0.0168674,0
4.02,1451.48,0,2.57136,0,0.0371657,0,165.36,0,265.552,0,2.33184e-05,0,0.022206,0
5.02,1563.04,0,3.14734,0,0.045656,0,183.499,0,294.313,0,2.87808e-05,0,0.0274233,0
6.02,1478.6,0,3.7402,0,0.0544541,0,191.159,0,306.279,0,3.44902e-05,0,0.0328823,0
7.02,1394.6,0,4.39232,0,0.0641985,0,199.553,0,319.275,0,4.08699e-05,0,0.0389888,0
8.02,1311.08,0,5.11307,0,0.0750473,0,208.795,0,333.444,0,4.80397e-05,0,0.0458594,0
9.02,1228.07,0,5.91384,0,0.0871953,0,219.021,0,348.959,0,5.6149e-05,0,0.0536398,0
10.02,1145.65,0,6.80872,0,0.100884,0,230.397,0,366.027,0,6.53855e-05,0,0.0625133,0
11.02,1063.87,0,7.81517,0,0.11642,0,243.131,0,384.9,0,7.59893e-05,0,0.0727147,0
12.02,982.826,0,8.95523,0,0.134189,0,257.48,0,405.888,0,8.82701e-05,0,0.0845475,0
13.02,902.605,0,10.2569,0,0.154694,0,273.771,0,429.372,0,0.000102635,0,0.0984113,0
14.02,823.324,0,11.7565,0,0.178591,0,292.422,0,455.828,0,0.000119628,0,0.114841,0
15,746.678,0,13.4638,0,0.206146,0,313.512,0,485.214,0,0.000139542,0,0.134133,0
