id,seed,tp,fill_volume,exchange_time,elapsed_sec,V_max,V_min,V_mean
1,58947507,fast,1000,60,0.05630509999999944,1563.036941294737,746.6784791136425,1162.8919453320163
2,58949812,fast,1500,45,0.06037990000000093,2560.7810386393753,1500.0,2151.5073833759648
3,58949879,slow,2500,30,0.07601290000000205,4616.433806525583,2500.0,3646.764504628114
4,58949962,fast,1000,45,0.0893884000000007,1500.9888143324129,577.5453280303043,1078.857770559782
5,58950063,fast,3000,30,0.10910700000000162,4862.518946647465,3000.0,3873.41513648521
